	t-SNE Component 1	t-SNE Component 2	Label
375	13.627216	12.038257	Small
376	9.867626	13.100699	Small
377	21.930227	5.815845	Small
378	41.053967	7.889819	Small
379	41.676556	7.967536	Small
380	28.066761	7.7714453	Small
381	11.869034	13.2407675	Small
382	32.79252	7.4925537	Small
383	14.743563	11.909245	Small
384	33.94235	7.182845	Small
385	10.397704	3.5943432	Small
386	12.559909	15.369128	Small
387	13.39861	9.027957	Small
388	15.975393	5.9219246	Small
389	8.592958	10.700036	Small
390	7.902686	18.840809	Small
391	34.756752	5.5321226	Small
392	29.856161	6.406533	Small
393	16.22838	9.814662	Small
394	7.7040405	15.343983	Small
395	18.553095	11.210288	Small
396	13.413245	9.536037	Small
397	7.4646144	-0.22799781	Small
398	10.839715	3.3055022	Small
399	26.533583	9.957789	Small
400	13.877781	13.69501	Small
401	17.721073	6.3531427	Small
402	39.30893	5.884268	Small
403	12.046622	12.022874	Small
404	7.182117	-0.64981484	Small
405	12.3169	1.6284255	Small
406	17.023455	2.3053646	Small
407	19.413397	4.9176793	Small
408	19.239357	11.026504	Small
409	19.262054	10.673773	Small
410	23.885706	9.754396	Small
411	27.914904	6.4146204	Small
412	23.811596	4.257864	Small
413	17.233511	9.200127	Small
414	11.83606	9.708296	Small
415	10.015948	5.048323	Small
416	9.992715	6.638651	Small
417	7.9516015	15.826669	Small
418	4.2094183	-4.4793296	Small
419	12.250688	3.9651341	Small
420	35.63957	4.8179617	Small
421	18.586014	5.3005404	Small
422	28.936922	5.7153373	Small
423	28.154789	5.4948997	Small
424	8.875457	18.212317	Small
425	15.70908	5.2762194	Small
426	15.197817	13.312706	Small
427	28.13987	4.8679233	Small
428	22.438118	7.054875	Small
429	27.800121	8.196533	Small
430	5.376219	-0.36012942	Small
431	9.955915	3.9271402	Small
432	31.625006	3.5391529	Small
433	39.59572	8.054269	Small
434	22.774374	6.564269	Small
435	6.7697845	-0.58338416	Small
436	16.689737	2.1026702	Small
437	20.498219	8.753478	Small
438	8.468776	10.261664	Small
439	15.603171	9.450051	Small
440	32.195286	4.774603	Small
441	23.550732	10.220702	Small
442	30.156347	6.448233	Small
443	25.161186	6.7463365	Small
444	20.93761	9.970115	Small
445	17.830656	8.883846	Small
446	8.34459	15.42816	Small
447	2.2868257	-8.228985	Small
448	1.9100003	-8.362022	Small
449	0.7380172	-10.453319	Small
450	4.4913683	-4.9208894	Small
451	2.6545868	-7.305902	Small
452	-0.14802364	-12.174903	Small
453	1.1539623	-9.755639	Small
454	0.403711	-10.981916	Small
455	2.2598252	-8.266296	Small
456	2.4101408	-7.7184057	Small
457	1.0861644	-9.817192	Small
458	-0.1700628	-12.277497	Small
459	1.2433603	-9.646506	Small
460	1.842568	-8.790686	Small
461	0.39203948	-10.952248	Small
462	0.22035562	-11.328326	Small
463	1.7690024	-8.864171	Small
464	-0.012870505	-11.7405815	Small
465	0.46364534	-10.71081	Small
466	1.5711826	-8.877462	Small
467	2.3149557	-7.551253	Small
468	-0.03516147	-11.773777	Small
469	2.0616608	-7.878106	Small
470	1.9474319	-7.855406	Small
471	2.312476	-7.7260895	Small
472	1.8537952	-8.343394	Small
473	1.4817479	-9.039246	Small
474	5.3103604	-3.5664082	Small
475	3.9425595	-4.6951733	Small
476	2.6019607	-7.966846	Small
477	2.4867685	-6.9632115	Small
478	0.5552234	-10.74648	Small
479	2.471748	-6.9313245	Small
480	2.2708313	-8.049799	Small
481	4.475423	-5.4960046	Small
482	2.1131911	-8.457267	Small
483	1.4955583	-9.196014	Small
484	1.3100882	-9.458824	Small
485	3.437522	-6.37414	Small
486	2.036169	-8.57745	Small
487	26.726246	7.443901	Small
488	18.10063	8.861521	Small
489	19.725348	6.1615605	Small
490	28.184128	7.3507633	Small
491	30.471067	6.418522	Small
492	40.75598	5.5309734	Small
493	20.786589	11.637206	Small
494	28.315783	8.625865	Small
495	31.977406	7.9820795	Small
