	UMAP Component 1	UMAP Component 2	Label
313	-4.43161	9.57517	Small
314	-4.8165293	8.074494	Small
315	-3.8973784	5.5733986	Small
316	-4.017898	9.017561	Small
317	-2.6449313	7.306585	Small
318	-2.9628522	7.5978804	Small
319	4.209962	6.0278387	Small
320	-2.3235495	8.964542	Small
321	-5.0571895	11.491215	Small
322	-1.5244282	8.579904	Small
323	-2.6068196	8.446064	Small
324	6.629639	3.9815001	Small
325	0.28075847	6.712297	Small
326	-0.70378715	3.5955482	Small
327	-4.8587794	5.9391	Small
328	-3.2897446	4.1534944	Small
329	4.810443	4.8963065	Small
330	8.33551	1.4950733	Small
331	-0.458403	3.7965631	Small
332	-2.2637203	3.7651658	Small
333	-2.34195	6.1015882	Small
334	-4.223075	6.679064	Small
335	-3.6696992	6.1012573	Small
336	-1.6895303	6.3328767	Small
337	-2.6918118	5.818913	Small
338	-0.39988506	3.5994556	Small
339	-5.423906	9.825689	Small
340	-1.9565425	4.784602	Small
341	5.2298727	4.920252	Small
342	-5.1199336	8.799334	Small
343	-1.7851903	6.7913885	Small
344	0.5065012	3.5442631	Small
345	-0.81883657	7.3177276	Small
346	-4.8822913	7.9720426	Small
347	-3.0937738	8.73774	Small
348	-3.9522936	6.4576306	Small
349	-5.2146935	-4.8709154	Small
350	-1.8998754	3.2716188	Small
351	-5.0966816	10.949535	Small
352	-7.731962	14.610683	Small
353	-0.8444201	5.17266	Small
354	-2.930528	6.9729853	Small
355	-1.8600211	5.561937	Small
356	-1.3343204	1.7019631	Small
357	-7.5772896	14.701967	Small
358	-2.4147542	1.8724889	Small
359	-4.4640775	3.61192	Small
360	-5.215663	5.927975	Small
361	-1.5831804	2.5224752	Small
362	-3.29631	5.736333	Small
363	-4.358118	3.028472	Small
364	-2.8083975	7.9388485	Small
365	-2.8145103	7.8899326	Small
366	-5.595953	8.115457	Small
367	-5.370754	9.351908	Small
368	-4.670311	4.6191497	Small
369	-3.5907166	5.041103	Small
370	-1.1405666	1.3422265	Small
371	-6.627195	11.256267	Small
372	-2.2610366	2.9430099	Small
373	-7.1822667	15.972746	Small
374	-3.1038558	8.372818	Small
375	-3.6898801	3.880814	Small
376	-2.5610812	1.9016796	Small
377	-3.403783	8.7283125	Small
378	-8.245148	16.100445	Small
379	-8.4052515	16.477417	Small
380	-5.7760863	9.959649	Small
381	-3.1387484	2.7093797	Small
382	-6.6993136	12.016676	Small
383	-3.6285648	4.0765524	Small
384	-6.956774	12.824902	Small
385	0.8092049	5.4557786	Small
386	-4.264685	2.4073756	Small
387	-2.1515284	4.688918	Small
388	-1.6029645	6.576646	Small
389	-0.39926028	2.238352	Small
390	-4.8166676	-3.9733694	Small
391	-6.378433	13.596894	Small
392	-5.8673077	11.307455	Small
393	-3.394512	5.3050256	Small
394	-2.1891892	-0.13864733	Small
395	-4.8518167	5.7913165	Small
396	-2.339071	4.7168903	Small
397	3.688252	5.043951	Small
398	0.75139064	5.921891	Small
399	-6.441331	9.027513	Small
400	-4.4095097	3.4312534	Small
401	-2.4471838	6.928661	Small
402	-7.0971937	15.552891	Small
403	-2.6754198	3.3582675	Small
404	3.868844	5.8137097	Small
405	1.0604328	7.2192197	Small
406	-0.68546003	8.268088	Small
407	-2.5960524	8.112432	Small
408	-5.0553694	6.000449	Small
409	-4.7448564	6.2840357	Small
410	-5.73736	8.136565	Small
411	-5.346092	10.656881	Small
412	-3.572547	10.1079035	Small
413	-3.4925404	5.940864	Small
414	-1.8734474	4.0991597	Small
415	0.45694682	4.9029527	Small
416	-0.15664826	4.182967	Small
417	-2.5963414	-0.41003546	Small
418	6.7337546	4.36136	Small
419	0.17041644	6.1542706	Small
420	-6.3732653	13.982597	Small
421	-2.409605	7.903584	Small
422	-5.044038	11.382975	Small
423	-5.003119	10.993613	Small
424	-4.4739466	-1.9540339	Small
425	-1.264601	6.758629	Small
426	-4.5598135	4.0688505	Small
427	-4.9998546	11.335733	Small
428	-4.052637	8.650183	Small
429	-6.34789	9.989787	Small
430	5.5322313	5.289913	Small
431	1.1635107	5.2964587	Small
432	-6.070208	12.384048	Small
433	-8.197649	15.278283	Small
434	-3.97847	8.781109	Small
435	4.0812197	4.992811	Small
436	-0.7393998	8.239461	Small
437	-4.313568	7.328285	Small
438	-0.2913165	2.3578794	Small
439	-3.0275524	5.3292556	Small
440	-5.8778687	12.336833	Small
441	-5.713354	7.887276	Small
442	-5.8696604	11.426005	Small
